Bird_Id,Learner_type,Hemisphere,Cell_type,Region,Density_interneurons,log(Density_interneurons)
Silver32,Bad,LH,CBCTPV,Medial,NA,NA
Silver32,Bad,LH,CTPV,Medial,18027.65146,4.255939153
Silver32,Bad,LH,CBPV,Medial,3795.295043,3.579245543
Silver32,Bad,LH,CBCT,Medial,24669.41778,4.3921589
Silver32,Bad,RH,CBCTPV,Medial,1858.078215,3.269063991
Silver32,Bad,RH,CTPV,Medial,23225.97769,4.365974005
Silver32,Bad,RH,CBPV,Medial,3716.156431,3.570093987
Silver32,Bad,RH,CBCT,Medial,32516.36877,4.51210204
Silver35,Bad,LH,CBCTPV,Medial,3484.384798,3.54212611
Silver35,Bad,LH,CTPV,Medial,38328.23277,4.583518795
Silver35,Bad,LH,CBPV,Medial,20906.30879,4.320277361
Silver35,Bad,LH,CBCT,Medial,29036.53998,4.462944864
Silver35,Bad,RH,CBCTPV,Medial,7714.443158,3.887304583
Silver35,Bad,RH,CTPV,Medial,27000.55105,4.431372628
Silver35,Bad,RH,CBPV,Medial,11571.66474,4.063395843
Silver35,Bad,RH,CBCT,Medial,90644.70711,4.95734245
Silver38,Good,LH,CBCTPV,Medial,12896.1823,4.110461164
Silver38,Good,LH,CTPV,Medial,48718.91092,4.687697571
Silver38,Good,LH,CBPV,Medial,30091.09204,4.478437949
Silver38,Good,LH,CBCT,Medial,44420.18349,4.647580348
Silver38,Good,RH,CBCTPV,Medial,3069.651869,3.487089125
Silver38,Good,RH,CTPV,Medial,27626.86682,4.441331634
Silver38,Good,RH,CBPV,Medial,6139.303739,3.78811912
Silver38,Good,RH,CBCT,Medial,104368.1636,5.018568042
Silver67,Good,LH,CBCTPV,Medial,10777.67484,4.032525077
Silver67,Good,LH,CTPV,Medial,35925.58279,4.555403822
Silver67,Good,LH,CBPV,Medial,23351.62882,4.368317179
Silver67,Good,LH,CBCT,Medial,73647.44473,4.867157683
Silver67,Good,RH,CBCTPV,Medial,3706.536449,3.568968275
Silver67,Good,RH,CTPV,Medial,85250.33832,4.930696111
Silver67,Good,RH,CBPV,Medial,14826.1458,4.171028267
Silver67,Good,RH,CBCT,Medial,74130.72898,4.869998271
Silver68,Good,LH,CBCTPV,Medial,4034.000871,3.605735988
Silver68,Good,LH,CTPV,Medial,36306.00784,4.559978497
Silver68,Good,LH,CBPV,Medial,4034.000871,3.605735988
Silver68,Good,LH,CBCT,Medial,16136.00348,4.207795979
Silver68,Good,RH,CBCTPV,Medial,7395.523569,3.868968925
Silver68,Good,RH,CTPV,Medial,48070.9032,4.681882282
Silver68,Good,RH,CBPV,Medial,16023.6344,4.204761027
Silver68,Good,RH,CBCT,Medial,35745.03059,4.553215673
Silver78,Bad,LH,CBCTPV,Medial,4137.591333,3.616747593
Silver78,Bad,LH,CTPV,Medial,26894.34366,4.42966095
Silver78,Bad,LH,CBPV,Medial,4137.591333,3.616747593
Silver78,Bad,LH,CBCT,Medial,68270.25699,4.834231538
Silver78,Bad,RH,CBCTPV,Medial,1473.891071,3.168465388
Silver78,Bad,RH,CTPV,Medial,28003.93035,4.447218989
Silver78,Bad,RH,CBPV,Medial,4421.673214,3.645586643
Silver78,Bad,RH,CBCT,Medial,42742.84106,4.630863386
Silver81,Good,LH,CBCTPV,Medial,5878.785058,3.769287582
Silver81,Good,LH,CTPV,Medial,27924.22902,4.445981191
Silver81,Good,LH,CBPV,Medial,10287.87385,4.01232563
Silver81,Good,LH,CBCT,Medial,63196.93937,4.800696046
Silver81,Good,RH,CBCTPV,Medial,2890.670702,3.460998621
Silver81,Good,RH,CTPV,Medial,31797.37772,4.502391306
Silver81,Good,RH,CBPV,Medial,10117.34746,4.005066665
Silver81,Good,RH,CBCT,Medial,30352.04237,4.48218792
Silver87,Bad,LH,CBCTPV,Medial,NA,NA
Silver87,Bad,LH,CTPV,Medial,21607.717,4.334608883
Silver87,Bad,LH,CBPV,Medial,2700.964624,3.431518896
Silver87,Bad,LH,CBCT,Medial,27009.64624,4.431518896
Silver87,Bad,RH,CBCTPV,Medial,5401.929249,3.732548892
Silver87,Bad,RH,CTPV,Medial,36463.02243,4.561852665
Silver87,Bad,RH,CBPV,Medial,12154.34081,4.08473141
Silver87,Bad,RH,CBCT,Medial,33762.05781,4.528428909
Silver83,Bad,LH,CBCTPV,Medial,NA,NA
Silver83,Bad,LH,CTPV,Medial,NA,NA
Silver83,Bad,LH,CBPV,Medial,NA,NA
Silver83,Bad,LH,CBCT,Medial,NA,NA
Silver83,Bad,RH,CBCTPV,Medial,10991.0651,4.04103978
Silver83,Bad,RH,CTPV,Medial,40823.9561,4.610915088
Silver83,Bad,RH,CBPV,Medial,15701.52158,4.19594174
Silver83,Bad,RH,CBCT,Medial,84788.21652,4.9283355
Silver90,Good,LH,CBCTPV,Medial,1665.521069,3.221550131
Silver90,Good,LH,CTPV,Medial,11658.64748,4.066648171
Silver90,Good,LH,CBPV,Medial,3331.042138,3.522580127
Silver90,Good,LH,CBCT,Medial,39972.50565,4.601761373
Silver90,Good,RH,CBCTPV,Medial,4819.645781,3.683015121
Silver90,Good,RH,CTPV,Medial,24098.22891,4.381985125
Silver90,Good,RH,CBPV,Medial,7229.468672,3.85910638
Silver90,Good,RH,CBCT,Medial,120491.1445,5.08095513
Silver95,Bad,LH,CBCTPV,Medial,NA,NA
Silver95,Bad,LH,CTPV,Medial,NA,NA
Silver95,Bad,LH,CBPV,Medial,NA,NA
Silver95,Bad,LH,CBCT,Medial,NA,NA
Silver95,Bad,RH,CBCTPV,Medial,3611.142952,3.557644681
Silver95,Bad,RH,CTPV,Medial,19861.28624,4.29800737
Silver95,Bad,RH,CBPV,Medial,4513.92869,3.654554694
Silver95,Bad,RH,CBCT,Medial,49653.21559,4.695947379
Silver41,Bad,LH,CBCTPV,Medial,NA,NA
Silver41,Bad,LH,CTPV,Medial,18059.64237,4.256709146
Silver41,Bad,LH,CBPV,Medial,1062.331904,3.026260224
Silver41,Bad,LH,CBCT,Medial,19121.97427,4.281532729
Silver41,Bad,RH,CBCTPV,Medial,NA,NA
Silver41,Bad,RH,CTPV,Medial,19671.44862,4.293836343
Silver41,Bad,RH,CBPV,Medial,4371.433026,3.640623829
Silver41,Bad,RH,CBCT,Medial,15300.01559,4.184691873
Red141,Bad,LH,CBCTPV,Medial,NA,NA
Red141,Bad,LH,CTPV,Medial,20973.7828,4.321676766
Red141,Bad,LH,CBPV,Medial,8389.513121,3.923736758
Red141,Bad,LH,CBCT,Medial,25168.53936,4.400858012
Red141,Bad,RH,CBCTPV,Medial,6292.134841,3.798798021
Red141,Bad,RH,CTPV,Medial,NA,NA
Red141,Bad,RH,CBPV,Medial,NA,NA
Red141,Bad,RH,CBCT,Medial,NA,NA
